business_name,area_hint,category,website,email,phone,lat,lon,score,source,status
Bell Electrical Supply,"Elmhurst, Queens, New York, USA",electrical,https://bellelectric.nyc/,contact@bellelectric.nyc,+1 718-446-5700,40.7405567,-73.8953435,100,openstreetmap_overpass,new
Best Urologist Brooklyn,"Cypress Hills, Brooklyn, New York, USA",doctors,https://www.urologistbrooklyn.com/,info@doralhw.org,+13478681098,40.6704343,-73.9068058,100,openstreetmap_overpass,new
Bliss Drugs,"Elmhurst, Queens, New York, USA",pharmacy,https://www.blissdrugs.com/,info@blissdrugs.com,+1 718-482-8900,40.7433451,-73.9174594,100,openstreetmap_overpass,new
BluePearl Specialty + Emergency Pet Hospital,"Elmhurst, Queens, New York, USA",veterinary,https://bluepearlvet.com/queens-ny/,info.ny@bluepearlvet.com,+1-718-263-0099,40.7203666,-73.8430859,100,openstreetmap_overpass,new
Brooklyn Seltzer Boys,"Cypress Hills, Brooklyn, New York, USA",water,https://brooklynseltzerboys.com/,bkseltzerboys@gmail.com,+1 718-649-0800,40.6778241,-73.869808,100,openstreetmap_overpass,new
Brookside Market,"Elmhurst, Queens, New York, USA",cafe,https://brooksidemarketnyc.com/,carrie@vortexhospitality.com,+1 718-806-1902,40.743706,-73.9207774,100,openstreetmap_overpass,new
"Bushwick Bicycle Shop, Inc.","Cypress Hills, Brooklyn, New York, USA",bicycle,https://bushwickbicycles.webs.com/,bushwickbicycleshopinc@gmail.com,+1-718-366-2804,40.6988084,-73.9142693,100,openstreetmap_overpass,new
Cabana Restaurant & Bar,"Elmhurst, Queens, New York, USA",restaurant,https://www.cabanarestaurant.com/,cabanaqueens@gmail.com,+1-718-263-3600,40.7208592,-73.8455395,100,openstreetmap_overpass,new
Caffeine Underground,"Cypress Hills, Brooklyn, New York, USA",cafe,https://www.caffeineunderground.com/,tcunyc@gmail.com,+1-718-484-4806,40.6922146,-73.914522,100,openstreetmap_overpass,new
Café Renis,"Elmhurst, Queens, New York, USA",cafe,https://www.caferenis.com,info@caferenis.com,+1-718-255-1730,40.7609317,-73.9089978,100,openstreetmap_overpass,new
Cannelle Patisserie,"Elmhurst, Queens, New York, USA",pastry,https://cannellepatisserie.com/cannelle-patisserie-queens/,info@cannellepatisserie.com,+1 718-565-6200,40.7600992,-73.8920175,100,openstreetmap_overpass,new
Car Lease With Bad Credit,"Elmhurst, Queens, New York, USA",car,http://carleasewithbadcredit.com,carleasewithbadcredit@gmail.com,+1-646-759-7805,40.7370702,-73.8652211,100,openstreetmap_overpass,new
Carvel,"Cypress Hills, Brooklyn, New York, USA",ice_cream,https://locations.carvel.com/ny/ridgewood/3112-ice-cream,Jing2912@hotmail.com,+1-718-386-2258,40.7003771,-73.9005349,100,openstreetmap_overpass,new
Centerpark Parker Towers Parking Garage,"Elmhurst, Queens, New York, USA",parking,https://www.centerpark.nyc/parker-towers-garage,support@centerpark.nyc,+1-718-440-9420,40.7227821,-73.8494163,100,openstreetmap_overpass,new
Chachawan Thai Restaurant,"Cypress Hills, Brooklyn, New York, USA",restaurant,https://www.chachawannyc.com/,Chachawan.nyc@gmail.com,+1-718-894-4404,40.7025681,-73.9015363,100,openstreetmap_overpass,new
Chakra Cafe,"Elmhurst, Queens, New York, USA",cafe,https://www.chakrany.com/,chakranyc@gmail.com,+1 929-462-0051,40.7436528,-73.9203646,100,openstreetmap_overpass,new
Circo's Pastry Shop,"Cypress Hills, Brooklyn, New York, USA",confectionery,https://circospastryshop.com/,info@circospastryshop.com,+1-718-381-7199,40.7014942,-73.9233511,100,openstreetmap_overpass,new
Cohen Medical Practice,"Elmhurst, Queens, New York, USA",doctors,https://nycgyne.com/gynecologist-rego-park-queens/,info@nycgyne.com,+1-347-545-2520,40.7272278,-73.8556612,100,openstreetmap_overpass,new
Colectivo Intercultural TRANSgrediendo,"Elmhurst, Queens, New York, USA",community_centre,https://www.ourvoicesarefree.org/,TRANSgrediendo@outlook.com,+1-917-601-6047,40.7479858,-73.8828067,100,openstreetmap_overpass,new
Corato II Pizza,"Cypress Hills, Brooklyn, New York, USA",restaurant,http://www.coratopizzany.com/,Coratopizza2@gmail.com,+1-718-381-5656,40.7009113,-73.8950499,100,openstreetmap_overpass,new
Curaleaf,"Elmhurst, Queens, New York, USA",cannabis,https://ny.curaleaf.com/stores/forest-hills/,queens@curaleaf.com,+1 646-968-2872,40.7211572,-73.8453295,100,openstreetmap_overpass,new
Dera,"Elmhurst, Queens, New York, USA",restaurant,https://deraeats.com/,info@deraeats.com,+1 718-898-3372,40.7477257,-73.8934828,100,openstreetmap_overpass,new
Divya Dham Temple,"Elmhurst, Queens, New York, USA",place_of_worship,https://geeta-divyadhamtemple.com/,geetadivyadham@gmail.com,+1-718-592-2925;+1-718-457-1008,40.7510933,-73.9057772,100,openstreetmap_overpass,new
Dolce Aesthetics,"Elmhurst, Queens, New York, USA",beauty,https://dolceaesthetics.com/,dolceaestheticsny@gmail.com,+1-718-365-2369,40.7031618,-73.8670754,100,openstreetmap_overpass,new
Doublé BK,"Cypress Hills, Brooklyn, New York, USA",pub,https://www.doublebk.com/,info@madmanhg.com,+1-914-249-toi9525,40.6946223,-73.9062927,100,openstreetmap_overpass,new
Dragons Lair Recording Studio,"Cypress Hills, Brooklyn, New York, USA",studio,https://dragonslairrecordingstudio.com/,info@dragonslairrecordingstudio.com,+1-347-362-5756,40.6922086,-73.9151411,100,openstreetmap_overpass,new
East Coast International Tire Group Inc.,"Elmhurst, Queens, New York, USA",tyres,https://ecitires.com/,info@ecitires.com,+1-718-386-9088,40.7174007,-73.9092933,100,openstreetmap_overpass,new
Energy Fuel,"Elmhurst, Queens, New York, USA",fast_food,https://www.energyfuelny.com/,energyfuelny@gmail.com,+1-718-456-3835,40.7094635,-73.8989955,100,openstreetmap_overpass,new
Evil Twin Brewery,"Cypress Hills, Brooklyn, New York, USA",bar,https://eviltwin.nyc,info@eviltwin.dk,+1-718-366-1850,40.6962173,-73.9040269,100,openstreetmap_overpass,new
Familiars Vegan Coffee Shop,"Cypress Hills, Brooklyn, New York, USA",cafe,https://www.familiarsbk.com/,familiarsbk@gmail.com,+1-347-295-2574,40.6867951,-73.9236409,100,openstreetmap_overpass,new
Fellowship Baptist Church,"Cypress Hills, Brooklyn, New York, USA",place_of_worship,https://brownsvillecommunitybaptistchurch.org/,Brownsville.Community.BC@gmail.com,+1-718-342-3637,40.6639174,-73.9057254,100,openstreetmap_overpass,new
